epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.8975,1.70434,3.26449,1.77592,0.01486,0.60355,0.1384,0.07063,1.74483,3.38259,1.80498,5.001e-05,5.001e-05,5.001e-05
2,107.955,1.67311,3.26942,1.77119,0.01438,0.59172,0.16616,0.09037,1.66866,3.34582,1.71583,0.000112839,0.000112839,0.000112839
3,148.713,2.00123,3.1742,2.00206,0.01397,0.57396,0.1732,0.08931,1.69267,3.33534,1.73328,0.000171268,0.000171268,0.000171268
4,195.144,1.59124,2.8004,1.71291,0.01504,0.60355,0.20455,0.11176,1.69273,3.25119,1.71655,0.000225295,0.000225295,0.000225295
5,237.265,2.05445,3.49208,2.15209,0.01606,0.60947,0.22683,0.12545,1.66203,3.17319,1.69072,0.000274922,0.000274922,0.000274922
6,283.807,1.77116,2.50567,1.91913,0.0178,0.63905,0.25979,0.15301,1.58584,3.07365,1.5897,0.000320147,0.000320147,0.000320147
7,327.773,1.90136,2.80532,1.95192,0.90442,0.11243,0.30119,0.1794,1.56702,3.05618,1.5852,0.000360972,0.000360972,0.000360972
8,394.804,1.54955,2.31506,1.65365,0.88708,0.09303,0.3012,0.17198,1.59958,3.06618,1.61108,0.000397396,0.000397396,0.000397396
9,447.714,1.64434,2.39477,1.74091,0.90243,0.10953,0.3077,0.17892,1.70024,3.01595,1.68746,0.000429419,0.000429419,0.000429419
10,496.402,1.70743,2.3847,1.74445,0.9222,0.1716,0.33567,0.18065,1.79276,2.94724,1.76105,0.000457041,0.000457041,0.000457041
11,541.076,1.68954,2.33616,1.70965,0.63038,0.2071,0.29639,0.1672,1.80699,2.85703,1.77417,0.000480263,0.000480263,0.000480263
12,592.062,1.56126,2.1649,1.65183,0.52548,0.3432,0.32661,0.19395,1.75311,2.63946,1.7609,0.000499083,0.000499083,0.000499083
13,642.321,1.53142,2.05331,1.67592,0.5349,0.3787,0.37975,0.24621,1.64329,2.34583,1.69813,0.000513503,0.000513503,0.000513503
14,698.988,1.6334,2.01535,1.63425,0.63426,0.38994,0.39452,0.25179,1.63713,2.29581,1.68231,0.000523521,0.000523521,0.000523521
15,741.248,1.53006,1.9444,1.64303,0.76084,0.39532,0.41117,0.26775,1.61515,2.20907,1.67734,0.000529139,0.000529139,0.000529139
16,791.732,1.6881,2.2457,1.74182,0.72616,0.37659,0.43589,0.27853,1.63719,2.22346,1.67732,0.000530356,0.000530356,0.000530356
17,836.627,1.69418,2.29294,1.70547,0.74218,0.39179,0.45118,0.29219,1.63078,2.28316,1.67071,0.000527172,0.000527172,0.000527172
18,885.911,1.61015,2.15118,1.6845,0.64191,0.4243,0.44977,0.30351,1.52992,2.26635,1.60249,0.000519587,0.000519587,0.000519587
19,928.753,1.40946,1.90015,1.54862,0.62148,0.42604,0.44602,0.30546,1.50627,2.16711,1.57279,0.000507602,0.000507602,0.000507602
20,975.877,1.44213,2.04597,1.56012,0.70375,0.40828,0.44724,0.318,1.50118,2.12628,1.57288,0.000491215,0.000491215,0.000491215
21,1018.83,1.28642,1.89885,1.44779,0.68423,0.40237,0.44753,0.32409,1.43881,2.04636,1.50199,0.000470427,0.000470427,0.000470427
22,1074.19,1.60056,2.20167,1.8086,0.73705,0.4142,0.4584,0.31902,1.46823,2.05033,1.52805,0.000445239,0.000445239,0.000445239
23,1152.88,1.62797,2.22262,1.71446,0.75855,0.42757,0.46682,0.31813,1.4765,2.05837,1.53644,0.00041565,0.00041565,0.00041565
24,1216.39,1.58746,2.25779,1.70026,0.74456,0.42604,0.48975,0.34228,1.44151,2.07351,1.52664,0.00038166,0.00038166,0.00038166
25,1269.14,1.68073,2.32709,1.8123,0.74921,0.4497,0.51559,0.36553,1.37933,2.05791,1.48646,0.000343269,0.000343269,0.000343269
26,1366.75,1.39475,1.87954,1.58741,0.75606,0.45851,0.53706,0.38564,1.3339,2.01218,1.4622,0.000291725,0.000291725,0.000291725
27,1414.98,1.31283,2.10837,1.54359,0.79611,0.4621,0.55155,0.40468,1.28963,1.97593,1.43463,0.000236714,0.000236714,0.000236714
28,1460.6,1.35231,1.92828,1.5498,0.8104,0.47337,0.56677,0.42151,1.24247,1.92849,1.40317,0.000181703,0.000181703,0.000181703
29,1507.45,1.49433,1.92521,1.61159,0.83876,0.49112,0.57718,0.43913,1.20087,1.86887,1.36533,0.000126692,0.000126692,0.000126692
30,1551.69,1.15613,1.63627,1.4063,0.83216,0.49874,0.58814,0.4567,1.17258,1.81092,1.34269,7.1681e-05,7.1681e-05,7.1681e-05
