epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.46,6.79982,7.96992,7.72344,0.00136,0.38889,0.00102,0.00025,6.36353,10.9408,7.25604,0.000555111,0.000555111,0.000555111
2,417.282,5.7188,6.8624,6.34551,0.00241,0.71627,0.00543,0.0012,5.52844,9.88895,6.3474,0.00109978,0.00109978,0.00109978
3,623.796,5.46213,6.80945,5.92606,0.00181,0.5377,0.00184,0.00049,5.90092,16.0289,6.39863,0.00163345,0.00163345,0.00163345
4,827.862,5.29522,6.76586,5.69897,0.00237,0.69841,0.00738,0.00153,5.45485,8.72006,6.01942,0.00161749,0.00161749,0.00161749
5,1030.95,5.10227,6.7581,5.5076,0.00265,0.76587,0.01798,0.00374,5.39876,8.4438,5.93235,0.00160099,0.00160099,0.00160099
6,1234.25,5.03735,6.71202,5.4268,0.00237,0.66667,0.0107,0.0026,5.37724,7.90328,5.88423,0.00158448,0.00158448,0.00158448
7,1439.73,4.99547,6.66689,5.35451,0.00261,0.77579,0.01608,0.00418,5.15534,8.64796,5.73511,0.00156798,0.00156798,0.00156798
8,1645.94,4.89839,6.64014,5.28142,0.0029,0.83135,0.04606,0.01447,4.97303,7.84732,5.60195,0.00155148,0.00155148,0.00155148
9,1851.55,4.81068,6.54254,5.15449,0.0026,0.75992,0.04021,0.0133,4.92229,8.07716,5.50768,0.00153497,0.00153497,0.00153497
10,2056.05,4.73914,6.47922,5.10167,0.11825,0.19841,0.08953,0.03155,4.86587,7.42896,5.32109,0.00151847,0.00151847,0.00151847
11,2262.57,4.60831,6.38724,4.96165,0.43107,0.14881,0.15121,0.0622,4.781,6.93487,5.25747,0.00150197,0.00150197,0.00150197
12,2468,4.55391,6.27665,4.90682,0.33935,0.22222,0.1742,0.0656,4.73455,6.79616,5.2133,0.00148546,0.00148546,0.00148546
13,2674.37,4.45437,6.24061,4.81633,0.32579,0.20238,0.14559,0.05673,4.59311,6.60968,5.22118,0.00146896,0.00146896,0.00146896
14,2885.61,4.40908,6.09469,4.7322,0.30233,0.23214,0.19874,0.07091,4.54985,6.6113,5.1369,0.00145246,0.00145246,0.00145246
15,3091.4,4.34563,6.03753,4.65904,0.23074,0.21825,0.13893,0.06451,4.5739,6.60407,5.12979,0.00143595,0.00143595,0.00143595
16,3296.96,4.30648,5.99526,4.59606,0.33336,0.20935,0.18749,0.08082,4.59028,6.44122,5.08039,0.00141945,0.00141945,0.00141945
17,3506.5,4.26841,5.91068,4.56748,0.34689,0.20238,0.19351,0.08512,4.51263,6.68458,5.03392,0.00140295,0.00140295,0.00140295
18,3712.53,4.21294,5.87485,4.5184,0.3402,0.27929,0.20335,0.07981,4.42167,6.38962,4.97997,0.00138644,0.00138644,0.00138644
19,3922.56,4.1915,5.87379,4.47766,0.40824,0.26786,0.21569,0.08548,4.51179,6.41568,4.99921,0.00136994,0.00136994,0.00136994
20,4128.53,4.15512,5.76052,4.41625,0.43136,0.26389,0.24597,0.11136,4.36874,5.97265,4.93403,0.00135344,0.00135344,0.00135344
21,4339.36,4.08813,5.69917,4.38064,0.43267,0.26984,0.27841,0.13835,4.4189,5.87023,4.84453,0.00133693,0.00133693,0.00133693
22,4548.06,4.07584,5.67166,4.35783,0.46953,0.24603,0.25124,0.11177,4.43002,5.94314,5.02251,0.00132043,0.00132043,0.00132043
23,4758.79,4.04666,5.59273,4.32326,0.38039,0.31548,0.28976,0.16613,4.18342,5.60423,4.83681,0.00130393,0.00130393,0.00130393
24,4967.12,4.01179,5.56837,4.27326,0.44171,0.23234,0.23988,0.12074,4.43872,5.96829,5.00692,0.00128742,0.00128742,0.00128742
25,5174.14,3.97716,5.5104,4.25699,0.45128,0.21032,0.26131,0.13547,4.54845,5.94355,5.09509,0.00127092,0.00127092,0.00127092
26,5383.05,3.92323,5.49389,4.2473,0.44281,0.27381,0.26351,0.13781,4.34287,5.7208,4.99213,0.00125442,0.00125442,0.00125442
27,5591.57,3.86525,5.40079,4.19352,0.25705,0.29762,0.24279,0.1262,4.31966,5.85762,4.9764,0.00123791,0.00123791,0.00123791
28,5803.41,3.88772,5.35815,4.17211,0.35521,0.23391,0.25241,0.12878,4.32313,5.87899,4.97885,0.00122141,0.00122141,0.00122141
29,6016.21,3.81773,5.3156,4.11209,0.37989,0.33532,0.31374,0.15826,4.31367,5.57089,4.99062,0.00120491,0.00120491,0.00120491
30,6230.59,3.82332,5.286,4.12822,0.42529,0.31349,0.32607,0.1651,4.431,5.77326,5.06783,0.0011884,0.0011884,0.0011884
31,6439.64,3.79713,5.22047,4.09403,0.37433,0.31746,0.30315,0.13713,4.61242,5.71861,5.13202,0.0011719,0.0011719,0.0011719
32,6652.96,3.80059,5.21939,4.093,0.38828,0.3254,0.31477,0.18599,4.2893,5.50282,4.91907,0.0011554,0.0011554,0.0011554
33,6861.51,3.75894,5.20208,4.04952,0.35425,0.3254,0.24672,0.12191,4.55412,5.72367,5.15791,0.00113889,0.00113889,0.00113889
34,7072.46,3.70065,5.12779,4.00768,0.38529,0.33532,0.29906,0.17232,4.24561,5.48705,4.85835,0.00112239,0.00112239,0.00112239
35,7284.39,3.72263,5.09526,4.00387,0.4029,0.3373,0.31352,0.16422,4.49651,5.28162,5.02366,0.00110589,0.00110589,0.00110589
36,7497.99,3.71819,5.07737,4.00982,0.41654,0.375,0.32395,0.16505,4.64356,5.34867,5.07404,0.00108938,0.00108938,0.00108938
37,7711.02,3.67087,5.04655,3.98792,0.4142,0.30952,0.29469,0.14892,4.55613,5.45481,5.09155,0.00107288,0.00107288,0.00107288
38,7920.19,3.65764,5.0205,3.97689,0.40551,0.33135,0.31059,0.15432,4.48828,5.59584,5.08731,0.00105638,0.00105638,0.00105638
39,8134.91,3.64927,4.94511,3.96192,0.51802,0.29167,0.31537,0.17005,4.44492,5.50651,4.99699,0.00103987,0.00103987,0.00103987
40,8345.16,3.62194,4.96825,3.95028,0.38412,0.34649,0.32118,0.17726,4.42696,5.26676,4.96262,0.00102337,0.00102337,0.00102337
41,8553.72,3.63552,4.95942,3.91843,0.38423,0.375,0.32504,0.17942,4.49296,5.50549,4.98105,0.00100687,0.00100687,0.00100687
42,8765.27,3.61313,4.94284,3.93134,0.34414,0.39286,0.28705,0.15489,4.41361,5.31312,4.84855,0.000990365,0.000990365,0.000990365
43,8971.8,3.57456,4.87881,3.89352,0.36393,0.29762,0.27459,0.14163,4.60989,6.05017,5.06711,0.000973861,0.000973861,0.000973861
44,9180.62,3.56352,4.83819,3.85705,0.28774,0.38315,0.25424,0.12763,4.52721,5.51279,5.01275,0.000957358,0.000957358,0.000957358
45,9388.79,3.55165,4.85067,3.87914,0.44095,0.22222,0.25252,0.1339,4.62164,5.83903,5.02037,0.000940855,0.000940855,0.000940855
46,9596.85,3.5138,4.80932,3.85816,0.39026,0.41071,0.33107,0.18562,4.20779,5.16274,4.86232,0.000924352,0.000924352,0.000924352
47,9806.75,3.54581,4.81175,3.85325,0.40847,0.31548,0.31718,0.17109,4.49549,5.4463,5.0061,0.000907848,0.000907848,0.000907848
48,10017.6,3.53337,4.75825,3.85717,0.34971,0.41721,0.34298,0.18022,4.57639,5.52441,5.04336,0.000891345,0.000891345,0.000891345
49,10227.7,3.51082,4.72363,3.82923,0.45551,0.28716,0.30465,0.16968,4.40829,5.34517,5.07979,0.000874842,0.000874842,0.000874842
50,10442.1,3.53621,4.73326,3.82675,0.43269,0.32341,0.3382,0.17819,4.5757,5.39912,5.13411,0.000858338,0.000858338,0.000858338
51,10652.7,3.52849,4.70973,3.83176,0.39467,0.3254,0.28576,0.14735,4.50691,5.65612,5.17997,0.000841835,0.000841835,0.000841835
52,10867.1,3.43976,4.65853,3.77026,0.42259,0.28571,0.26967,0.1417,4.4131,5.45192,5.10007,0.000825332,0.000825332,0.000825332
53,11080,3.48752,4.68325,3.803,0.41108,0.30556,0.25996,0.14604,4.46767,5.58062,5.14212,0.000808828,0.000808828,0.000808828
54,11289.4,3.42198,4.67194,3.78169,0.50486,0.31746,0.31606,0.17591,4.3866,5.35517,4.9993,0.000792325,0.000792325,0.000792325
55,11500.8,3.45795,4.615,3.76434,0.39591,0.35317,0.28241,0.15485,4.48676,5.31938,5.12179,0.000775822,0.000775822,0.000775822
56,11712.5,3.41591,4.61152,3.76248,0.45535,0.31548,0.30559,0.14737,4.64505,5.4019,5.202,0.000759318,0.000759318,0.000759318
57,11918.5,3.39818,4.57054,3.72093,0.34534,0.38095,0.28903,0.16409,4.24629,5.29775,4.9672,0.000742815,0.000742815,0.000742815
58,12130.9,3.4216,4.53871,3.73664,0.41766,0.27183,0.23855,0.11966,4.64297,5.65761,5.21578,0.000726312,0.000726312,0.000726312
59,12341.8,3.40956,4.56646,3.73551,0.41822,0.32937,0.27156,0.13003,4.63765,5.42559,5.22082,0.000709809,0.000709809,0.000709809
60,12554.9,3.35276,4.49223,3.71721,0.44135,0.29762,0.248,0.12609,4.65205,5.56756,5.23489,0.000693305,0.000693305,0.000693305
61,12768.6,3.36031,4.45658,3.69106,0.32487,0.40673,0.27548,0.12653,4.76627,5.56657,5.43158,0.000676802,0.000676802,0.000676802
62,12982.5,3.35425,4.48855,3.69792,0.49148,0.33333,0.30277,0.15312,4.61837,5.29213,5.18667,0.000660299,0.000660299,0.000660299
63,13194.4,3.31703,4.4146,3.66121,0.3382,0.40476,0.29596,0.15261,4.77317,5.28332,5.40572,0.000643795,0.000643795,0.000643795
64,13406.7,3.32592,4.45795,3.66857,0.42591,0.34325,0.29599,0.15869,4.41672,5.3046,5.24579,0.000627292,0.000627292,0.000627292
65,13615.3,3.30444,4.43885,3.67764,0.31337,0.41667,0.26986,0.14605,4.65915,5.34606,5.36185,0.000610789,0.000610789,0.000610789
66,13826.4,3.27328,4.37139,3.61894,0.32485,0.44444,0.27554,0.15271,4.58087,5.43697,5.2801,0.000594286,0.000594286,0.000594286
67,14031.3,3.27494,4.36462,3.64368,0.35251,0.40675,0.27417,0.13635,4.6351,5.38136,5.38504,0.000577782,0.000577782,0.000577782
68,14240.5,3.24851,4.31521,3.61215,0.34972,0.44048,0.31611,0.16043,4.67816,5.31227,5.38342,0.000561279,0.000561279,0.000561279
69,14447.6,3.26919,4.30925,3.60973,0.31819,0.44444,0.26688,0.12752,4.78206,5.61227,5.43346,0.000544776,0.000544776,0.000544776
