epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,41.1496,0.69321,0.764,1,0.60183,0.000554185,0.000554185,0.000554185
2,77.7044,0.64812,0.66,1,0.66668,0.00109886,0.00109886,0.00109886
3,114.039,0.59011,0.63,1,1.18259,0.00163254,0.00163254,0.00163254
4,152.161,0.43386,0.596,1,1.78657,0.00161749,0.00161749,0.00161749
5,191.182,0.35656,0.5,1,1.33508,0.00160099,0.00160099,0.00160099
6,231.533,0.28213,0.511,1,1.50274,0.00158448,0.00158448,0.00158448
7,268.891,0.30541,0.565,1,1.5894,0.00156798,0.00156798,0.00156798
8,307.048,0.24379,0.56,1,0.98251,0.00155148,0.00155148,0.00155148
9,343.519,0.25735,0.505,1,1.73873,0.00153497,0.00153497,0.00153497
10,379.717,0.23943,0.569,1,1.28294,0.00151847,0.00151847,0.00151847
11,416.849,0.25144,0.526,1,1.57743,0.00150197,0.00150197,0.00150197
12,452.871,0.18565,0.563,1,2.06457,0.00148546,0.00148546,0.00148546
13,488.949,0.192,0.5,1,1.82791,0.00146896,0.00146896,0.00146896
14,526.554,0.21476,0.549,1,1.51031,0.00145246,0.00145246,0.00145246
15,562.714,0.18112,0.527,1,1.55317,0.00143595,0.00143595,0.00143595
16,600.689,0.17154,0.503,1,1.43393,0.00141945,0.00141945,0.00141945
17,636.971,0.1367,0.501,1,1.47397,0.00140295,0.00140295,0.00140295
18,674.752,0.14147,0.503,1,1.81979,0.00138644,0.00138644,0.00138644
19,710.495,0.15017,0.558,1,1.43495,0.00136994,0.00136994,0.00136994
20,745.983,0.11865,0.595,1,1.66208,0.00135344,0.00135344,0.00135344
21,782.226,0.14191,0.534,1,1.81036,0.00133693,0.00133693,0.00133693
22,818.354,0.15105,0.592,1,1.6425,0.00132043,0.00132043,0.00132043
23,855.146,0.14899,0.58,1,1.35874,0.00130393,0.00130393,0.00130393
24,891.541,0.1459,0.57,1,1.87421,0.00128742,0.00128742,0.00128742
25,927.984,0.14634,0.577,1,1.3057,0.00127092,0.00127092,0.00127092
26,965.765,0.15203,0.569,1,1.38346,0.00125442,0.00125442,0.00125442
27,1002.05,0.1448,0.522,1,1.7432,0.00123791,0.00123791,0.00123791
28,1038.59,0.13703,0.607,1,1.18535,0.00122141,0.00122141,0.00122141
29,1074.92,0.12048,0.549,1,1.96106,0.00120491,0.00120491,0.00120491
30,1111.9,0.12475,0.58,1,1.59941,0.0011884,0.0011884,0.0011884
31,1148.24,0.12685,0.538,1,2.31715,0.0011719,0.0011719,0.0011719
32,1184.8,0.13338,0.527,1,1.65699,0.0011554,0.0011554,0.0011554
33,1220.57,0.1039,0.602,1,1.75251,0.00113889,0.00113889,0.00113889
34,1257.63,0.10203,0.591,1,1.21868,0.00112239,0.00112239,0.00112239
35,1294.08,0.11588,0.647,1,1.14015,0.00110589,0.00110589,0.00110589
36,1330.01,0.10987,0.579,1,1.56565,0.00108938,0.00108938,0.00108938
37,1366.98,0.11105,0.518,1,1.36579,0.00107288,0.00107288,0.00107288
38,1404.58,0.09906,0.531,1,1.68155,0.00105638,0.00105638,0.00105638
39,1440.38,0.11126,0.501,1,1.83204,0.00103987,0.00103987,0.00103987
40,1476.39,0.11036,0.618,1,1.85391,0.00102337,0.00102337,0.00102337
41,1512.48,0.10495,0.547,1,1.76401,0.00100687,0.00100687,0.00100687
42,1547.96,0.12953,0.637,1,1.30044,0.000990365,0.000990365,0.000990365
43,1583.67,0.08048,0.627,1,1.3953,0.000973861,0.000973861,0.000973861
44,1619.38,0.09484,0.62,1,1.36256,0.000957358,0.000957358,0.000957358
45,1655.31,0.09913,0.59,1,1.59862,0.000940855,0.000940855,0.000940855
46,1691.01,0.10703,0.562,1,1.77421,0.000924352,0.000924352,0.000924352
47,1727.19,0.10766,0.622,1,1.37068,0.000907848,0.000907848,0.000907848
48,1763.65,0.09902,0.657,1,1.35896,0.000891345,0.000891345,0.000891345
49,1799.68,0.08355,0.685,1,1.13827,0.000874842,0.000874842,0.000874842
50,1835.98,0.08728,0.688,1,1.04465,0.000858338,0.000858338,0.000858338
51,1872.24,0.0872,0.714,1,0.95756,0.000841835,0.000841835,0.000841835
52,1909.92,0.10013,0.625,1,1.45853,0.000825332,0.000825332,0.000825332
53,1946.92,0.07232,0.72,1,0.85236,0.000808828,0.000808828,0.000808828
54,1983.08,0.08426,0.679,1,1.28608,0.000792325,0.000792325,0.000792325
55,2019.63,0.07644,0.625,1,1.65846,0.000775822,0.000775822,0.000775822
