epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.1556,6.10873,11.955,8.48848,0,0,0,0,6.31993,10.7747,8.2033,0.000546847,0.000546847,0.000546847
2,105.164,6.11197,10.1596,8.12879,0.00103,0.02985,0.00054,7e-05,6.88537,129.972,14.7621,0.000993364,0.000993364,0.000993364
3,157.022,6.07488,8.56746,7.64185,0.00335,0.25871,0.00306,0.00068,6.1492,9.41032,14.7599,0.00132986,0.00132986,0.00132986
4,208.802,6.15219,7.63996,7.23579,0.0016,0.30846,0.00202,0.00058,7.06687,inf,14.8575,0.0011719,0.0011719,0.0011719
5,260.66,6.16081,7.14892,6.98223,0.00174,0.50249,0.0025,0.00068,6.12436,9.05547,7.02544,0.00100687,0.00100687,0.00100687
6,312.46,6.12966,6.84957,6.88721,0.00877,0.22388,0.00595,0.00124,6.15585,8.01868,6.99833,0.000841835,0.000841835,0.000841835
7,364.609,6.04488,6.70471,6.76573,0.00189,0.49751,0.00531,0.00127,6.03854,7.50765,7.00933,0.000676802,0.000676802,0.000676802
8,416.561,6.09085,6.49601,6.70978,0.0021,0.52736,0.00569,0.00142,6.17646,7.35813,6.9248,0.000511769,0.000511769,0.000511769
9,468.558,6.06502,6.43016,6.6676,0.00202,0.53731,0.004,0.00096,6.07833,7.55901,6.92791,0.000346736,0.000346736,0.000346736
10,520.169,6.09956,6.2944,6.63332,0.01241,0.01493,0.00527,0.00138,5.98865,7.27044,6.645,0.000181703,0.000181703,0.000181703
